Motocross|468|25|0|2|146558|1714782739|Diihrox|-1964.215820|-2454.012207|30.294300|309.565185
-1868.7952|-2383.1565|31.7645
-1693.0476|-2286.2637|41.8440
-1638.0258|-2148.1431|29.2667
-1357.3053|-2174.9478|21.4196
-1223.2632|-2332.1511|17.2299
-1018.3232|-2377.3960|59.7377
-904.6418|-2378.8567|52.1759
-792.0791|-2468.6345|76.8125
-717.4023|-2351.5200|40.9826
-547.4152|-2326.0032|28.4352
-419.6440|-2261.6428|47.6915
-305.7488|-2241.2961|28.9462
-362.6183|-2018.9785|27.8787
-316.9141|-1763.0695|15.8973
-294.6909|-1679.6057|14.5536
-424.5143|-1685.9669|12.6416
-625.7939|-1598.3423|22.0995
-712.9567|-1716.4912|45.4761
-716.9481|-1318.7313|63.2546
-761.0999|-1479.3362|89.0880
-776.0891|-1739.6115|95.2873
-844.4099|-1839.8127|90.9807
-920.8542|-1722.1471|77.2395
-1038.9033|-1659.3005|77.2345
-1112.0989|-1649.9276|76.0353
